Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
NGK,Nuveen Connecticut Dividend Advantage Municipal Fund 2,14.89,34544800,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ngk
NGO,Nuveen Connecticut Dividend Advantage Municipal Fund 3,14.03,61269010,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ngo
CFD,Nuveen Diversified Commodity Fund,20.71,190925490,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/cfd
NXZ,Nuveen Dividend Advantage Municipal Fund 2,15.21,448117020,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxz
NZF,Nuveen Dividend Advantage Municipal Fund 3,15.25,615978000,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/nzf
NVG,Nuveen Dividend Advantage Municipal Income Fund,15.36,457774080,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nvg
NZX,Nuveen Georgia Dividend Advantage Municipal Fund,16.022,31595384,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzx
NZX^C,Nuveen Georgia Dividend Advantage Municipal Fund,10.08,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzx^c
NKG,Nuveen Georgia Dividend Advantage Municipal Fund 2,15,68325000,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nkg
NPG,Nuveen Georgia Premium Income Municipal Fund,15.062,57341034,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/npg
NGX,Nuveen Insured Massachusetts Tax-Free Advantage Municipal Fund,15.66,42704820,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ngx
NFM,Nuveen Maryland Dividend Advantage Municipal Fund,14.9286,62655334.2,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nfm
NZR,Nuveen Maryland Dividend Advantage Municipal Fund 2,15.12,63549360,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzr
NWI,Nuveen Maryland Dividend Advantage Municipal Fund 3,14.8001,79417336.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nwi
NMB,Nuveen Massachusetts Dividend Advantage Municipal Fund,14.65,28801900,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nmb
NMB^C,Nuveen Massachusetts Dividend Advantage Municipal Fund,10.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nmb^c
NZW,Nuveen Michigan Dividend Advantage Municipal Fund,14.41,29583730,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzw
NZW^C,Nuveen Michigan Dividend Advantage Municipal Fund,10.09,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzw^c
NOM,Nuveen Missouri Premium Income Municipal Fund,16.93,39311460,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/nom
NMZ,Nuveen Municipal High Income Opportunity Fund,13.35,372091200,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/nmz
NXJ,Nuveen New Jersey Dividend Advantage Municipal Fund,14.976,98392320,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxj
NUJ,Nuveen New Jersey Dividend Advantage Municipal Fund 2,15.67,70875410,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/nuj
NJV,Nuveen New Jersey Municipal Value Fund,16.79,26209190,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/njv
NRK,Nuveen New York AMT-Free Municipal Income Fund,14.6485,51372289.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nrk
NXK,Nuveen New York Dividend Advantage Municipal Fund 2,14.7,95388300,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxk
NKO,Nuveen New York Dividend Advantage Municipal Income Fund,14.886,118150182,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nko
NYV,Nuveen New York Municipal Value Fund 2,15.97,37481590,n/a,2009,n/a,n/a,http://www.nasdaq.com/symbol/nyv
NRB,Nuveen North Carolina Dividend Advantage Municipal Fund,16.28,36988160,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nrb
NNO,Nuveen North Carolina Dividend Advantage Municipal Fund 2,15.7335,59047825.5,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nno
NII,Nuveen North Carolina Dividend Advantage Municipal Fund 3,15.71,61850270,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nii
NXI,Nuveen Ohio Dividend Advantage Municipal Fund,15.82,67171720,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxi
NXI^D,Nuveen Ohio Dividend Advantage Municipal Fund,10.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nxi^d
NBJ,Nuveen Ohio Dividend Advantage Municipal Fund 2,15.58,48640760,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbj
NBJ^A,Nuveen Ohio Dividend Advantage Municipal Fund 2,10.1,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbj^a
